sample_id	h0	h1	h2
SRS8422867	4274.0	1352.5932927419367	970.9266652122683
SRS8422868	3199.0	1386.4039868214581	1000.1367723722994
SRS8422869	3207.0	1378.2475005513845	976.7734180963868
SRS8422870	3169.0	1381.906234835493	985.2150040180582
SRS8422871	3317.0	1234.7800784126136	876.6120341591358
SRS8422872	3538.0	1472.1444939977373	1040.7830485764637
SRS8422873	2901.0	1357.5571344674902	973.6377892804304
SRS8422874	3346.0	1404.6831832680164	1001.8409947359197
SRS8422875	3384.0	1385.693206932216	990.963309285396
SRS8422876	3702.0	1387.3846490047347	985.3303601680442
SRS8422877	4019.0	1391.0064644042884	991.2229008638441
SRS8422878	3068.0	1413.1675204529702	996.987316602164
SRS8422879	2879.0	1367.213754382499	982.1176326951943
SRS8422880	3314.0	1385.6505865276065	977.9177183400129
SRS8422881	3076.0	1377.5951889041671	983.244505652368
SRS8422882	4372.0	1356.2552531334768	979.6751997341999
SRS8422883	3001.0	1393.2933411054628	987.5097351055987
SRS8422884	3362.0	1347.8828958366094	972.8847846234224
SRS8422885	3119.0	1369.1603942904535	985.0627688197178
SRS8422886	3669.0	1414.8087744094369	1003.8076168835931
SRS8422887	3168.0	1387.460838377034	1008.7521338395316
SRS8422888	3402.0	1420.4508408468303	1006.7149299826085
SRS8422889	3726.0	1368.9026200546589	965.9252353691437
SRS8422890	3335.0	1402.266457966325	997.2917083444593
SRS8422891	3045.0	1338.2298354223994	975.6057660668062
SRS8422892	3675.0	1402.8900838892896	1003.0002142730427
SRS8422893	2946.0	1336.1295918119768	963.115657775384
SRS8422894	3013.0	1339.153953507861	974.5000204813936
SRS8422895	2903.0	1291.0472057899042	937.0822343222874
SRS8422896	4232.0	1457.0050369044202	1024.7957014120304
SRS8422897	3311.0	1363.2637941774815	981.2786039052703
SRS8422898	3181.0	1410.5267840866916	999.4480945499945
SRS8422899	3032.0	1378.572501970794	994.2007889935364
SRS8422900	4117.0	1351.5600860947932	973.4495310080983
SRS8422901	3481.0	1422.2643017907876	1023.8587805547319
SRS8422902	3365.0	1388.5509773604986	998.2876206569315
SRS8422903	2902.0	1351.2317878959987	942.4838956853179
SRS8422904	2947.0	1358.8226455369286	976.1592299219972
SRS8422905	3461.0	1335.6300111360247	968.3021888018837
SRS8422906	3700.0	1436.4304229364973	1018.8296674489751
SRS8422907	3761.0	1210.5157455996962	898.1309379108084
SRS8422908	3220.0	1414.391526560841	1011.5103181026
SRS8422909	4358.0	1327.3387931144944	951.5855977820931
SRS8422910	3307.0	1404.3090303826864	997.3844025198509
SRS8422911	4078.0	1398.7331328931514	1000.6130086328697
SRS8422912	4273.0	1319.363176267333	945.0188547215281
SRS8422913	4471.0	1383.84367728682	989.1719535253446
SRS8422914	3335.0	1419.0182511778976	1013.9294352597736
SRS8422915	3122.0	1320.2304214075127	958.9430407087326
