ASV_ID	OTU_ID
ASV3240028	ASV3240023
ASV3240035	ASV3240023
ASV3240056	ASV3240023
ASV3240057	ASV3240023
ASV3240067	ASV3240023
ASV3243679	ASV3237099
ASV3243759	ASV3237294
ASV3244896	ASV3240023
ASV1103872	ASV1103839
ASV1103917	ASV3237294
ASV1103918	ASV3237294
ASV1105051	ASV3240118
ASV1105053	ASV3240118
ASV3236227	ASV3236225
ASV3236525	ASV3236515
ASV3237177	ASV3237172
ASV3237181	ASV3237172
ASV3237183	ASV3237172
ASV3237184	ASV3237172
ASV3237306	ASV3237305
ASV3238100	ASV3238099
ASV3238102	ASV3238099
ASV3238106	ASV3238099
ASV3238107	ASV3238099
ASV3238108	ASV3238099
ASV3238109	ASV3238099
ASV3238114	ASV3238099
ASV3238115	ASV3238099
ASV3238117	ASV3238099
ASV3238119	ASV3238099
ASV3238138	ASV3238099
ASV3238139	ASV3238099
ASV3238140	ASV3238099
ASV3238141	ASV3238099
ASV3238144	ASV3238099
ASV3238146	ASV3238099
ASV3238177	ASV3238168
ASV3238182	ASV3238099
ASV3238184	ASV3238099
ASV3238186	ASV3238099
ASV3238187	ASV3238099
ASV3238192	ASV3238099
ASV3238195	ASV3238099
ASV3238196	ASV3238099
ASV3238200	ASV3238168
ASV3238211	ASV3238210
ASV3238213	ASV3238210
ASV3238215	ASV3238099
ASV3238217	ASV3238210
ASV3238218	ASV3238210
ASV3238225	ASV3238099
ASV3238232	ASV3238210
ASV3238242	ASV3238168
ASV3239979	ASV3239976
ASV3239982	ASV3239976
ASV3239987	ASV3239976
ASV3239989	ASV3239976
ASV3239990	ASV3239976
ASV3239992	ASV3239976
ASV3239994	ASV3239976
ASV3239995	ASV3239976
ASV3240004	ASV3240003
ASV3240006	ASV3240003
ASV3240007	ASV3240003
ASV3240014	ASV3239976
ASV3240016	ASV3239976
ASV3240017	ASV3239976
ASV3240020	ASV3239976
ASV3240040	ASV3239976
ASV3240041	ASV3239976
ASV3240045	ASV3239976
ASV3240061	ASV3240023
ASV3240063	ASV3240023
ASV3240069	ASV3240023
ASV3240075	ASV3240052
ASV3240083	ASV3240080
ASV3240087	ASV3240080
ASV3240103	ASV3240100
ASV3240105	ASV3240100
ASV3240133	ASV3240132
ASV3240145	ASV3240139
ASV3240147	ASV3240139
ASV3240162	ASV3240132
ASV3240171	ASV3240132
ASV3240177	ASV3240132
ASV3240179	ASV3240132
ASV3240180	ASV3240132
ASV3240208	ASV3240207
ASV3240220	ASV3240217
ASV3240223	ASV3240221
ASV3240266	ASV3240257
ASV3240269	ASV3240257
ASV3240276	ASV3240257
ASV3243231	ASV3236225
ASV3243252	ASV3236266
ASV3243366	ASV3236515
ASV3243370	ASV3236515
ASV3243698	ASV3237172
ASV3243701	ASV3237172
ASV3243761	ASV3237298
ASV3243763	ASV3237302
ASV3243765	ASV3237305
ASV3244119	ASV3238099
ASV3244121	ASV3238099
ASV3244122	ASV3238099
ASV3244126	ASV3238099
ASV3244128	ASV3238099
ASV3244132	ASV3238099
ASV3244133	ASV3238099
ASV3244134	ASV3238099
ASV3244135	ASV3238099
ASV3244137	ASV3238099
ASV3244143	ASV3238168
ASV3244148	ASV3238099
ASV3244153	ASV3238099
ASV3244154	ASV3238099
ASV3244159	ASV3238210
ASV3244832	ASV3239875
ASV3244845	ASV3239905
ASV3244865	ASV3239975
ASV3244869	ASV3239976
ASV3244870	ASV3239976
ASV3244871	ASV3239976
ASV3244873	ASV3239976
ASV3244874	ASV3239998
ASV3244878	ASV3240003
ASV3244880	ASV3240003
ASV3244882	ASV3240003
ASV3244887	ASV3239976
ASV3244888	ASV3239976
ASV3244889	ASV3239976
ASV3244892	ASV3240038
ASV3244895	ASV3240052
ASV3244897	ASV3240023
ASV3244899	ASV3240023
ASV3244901	ASV3240052
ASV3244910	ASV3240100
ASV3244912	ASV3240100
ASV3244915	ASV3240100
ASV3244916	ASV3240110
ASV3244926	ASV3240132
ASV3244934	ASV3240152
ASV3244936	ASV3240132
ASV3244938	ASV3240132
ASV3244939	ASV3240132
ASV3244945	ASV3240202
ASV3244947	ASV3240207
ASV3244948	ASV3240207
ASV3244951	ASV3240214
ASV3244953	ASV3240217
ASV3244962	ASV3240252
ASV3244965	ASV3240257
ASV3244986	ASV3240317
ASV3245006	ASV3240370
ASV3245007	ASV3240373
ASV1103504	ASV3236231
ASV1103505	ASV3236231
ASV1103512	ASV3236246
ASV1103516	ASV1103513
ASV1103523	ASV1103513
ASV1103567	ASV1103566
ASV1103568	ASV1103566
ASV1103569	ASV1103566
ASV1103570	ASV1103566
ASV1103571	ASV1103566
ASV1103581	ASV1103579
ASV1103582	ASV1103579
ASV1103585	ASV1103579
ASV1103590	ASV1103579
ASV1103595	ASV3236531
ASV1103612	ASV1103611
ASV1103614	ASV1103613
ASV1103615	ASV1103613
ASV1103616	ASV1103613
ASV1103617	ASV1103613
ASV1103848	ASV3237104
ASV1103867	ASV1103866
ASV1103869	ASV1103866
ASV1103871	ASV1103866
ASV1104315	ASV3238168
ASV1104318	ASV3238210
ASV1104319	ASV3238210
ASV1104320	ASV3238210
ASV1105012	ASV3239976
ASV1105021	ASV3240003
ASV1105026	ASV3240023
ASV1105028	ASV3240023
ASV1105031	ASV3240052
ASV1105039	ASV3240080
ASV1105047	ASV3240080
ASV1105059	ASV3244933
ASV1105067	ASV3240214
ASV1105069	ASV3240217
ASV1105073	ASV3240217
ASV1105075	ASV3240221
ASV1105082	ASV3240252
ASV3239878	ASV3239875
ASV3239884	ASV3239875
ASV3239923	ASV3239919
ASV3239931	ASV3239927
ASV3240378	ASV3240376
ASV3240382	ASV3240376
ASV3240383	ASV3240376
ASV3244833	ASV3239875
ASV3244852	ASV3239919
ASV3244855	ASV3239919
ASV3244856	ASV3239927
ASV3244857	ASV3239935
ASV3244998	ASV3240337
ASV3245008	ASV3240376
ASV3245011	ASV3240376
ASV3245013	ASV3240376
ASV1104997	ASV3239887
ASV3244826	ASV3239866
ASV3238643	ASV3238639
